mean_test_score,std_test_score,rank_test_score,lgbm__bagging_fraction,lgbm__bagging_freq,lgbm__feature_fraction,lgbm__learning_rate,lgbm__max_depth,lgbm__min_child_samples,lgbm__n_estimators,lgbm__num_leaves,lgbm__verbose,pca__n_components
0.9928065064453333,0.00024888666978738194,1,0.8,10,0.8,0.1,20,5,150,80,-1,10
0.9928065064453333,0.00024888666978738194,1,0.8,10,0.8,0.1,20,5,150,50,-1,10
0.9893088704688966,0.0005011169522503803,3,0.8,10,0.8,0.1,20,5,150,31,-1,10
0.9893088704688966,0.0005011169522503803,3,0.8,10,0.8,0.1,-1,5,150,80,-1,10
0.989102083723774,0.0005423251166006903,5,0.8,10,0.8,0.1,-1,5,150,50,-1,10
0.9888873250135763,0.0007105506503818832,6,0.8,10,0.8,0.1,-1,5,150,31,-1,10
0.9839262689270948,0.0012637832021005397,7,1.0,5,1.0,0.1,20,5,150,31,-1,10
0.9839262689270948,0.0012637832021005397,7,1.0,10,1.0,0.1,-1,5,150,31,-1,10
0.9838715777715823,0.0013459148599597873,9,1.0,10,1.0,0.1,20,5,200,31,-1,10
0.9836217552597594,0.001229939721849436,10,1.0,5,1.0,0.1,-1,5,150,31,-1,10
0.9835439532174093,0.0013782949190405105,11,1.0,5,1.0,0.1,20,5,200,31,-1,10
0.9834218860105677,0.0012646520330664012,12,1.0,10,1.0,0.1,20,5,150,31,-1,10
0.9831987558378964,0.0011540464983536346,13,1.0,10,1.0,0.1,-1,5,200,31,-1,10
0.9760284494394703,0.0017591099036378098,14,1.0,5,1.0,0.1,20,5,150,50,-1,10
0.9760252341856296,0.0019526410471537527,15,1.0,5,1.0,0.1,-1,5,150,50,-1,10
0.9760252341856296,0.0019526410471537527,15,1.0,5,1.0,0.1,20,5,150,80,-1,10
0.9759886342928737,0.0024267243366367375,17,1.0,10,1.0,0.1,-1,5,150,50,-1,10
0.9759840592703235,0.0021830194598563926,18,1.0,5,1.0,0.1,-1,5,150,80,-1,10
0.975851778975459,0.001907491293949473,19,1.0,5,1.0,0.1,-1,5,200,31,-1,10
0.9757181507642979,0.0022595304773323686,20,1.0,10,1.0,0.1,20,5,150,80,-1,10
